Source Site Type,Target Site Type,Relationship Role,Source Site Name (Italian),Source Site Name (English),Source Modern Municipality,Source Modern Province,Source Historical Region,Source Site Dedication Subject(s),Source Monastic Affiliation,Target Site Name (Italian),Target Site Name (English),Target Modern Municipality,Target Modern Province,Target Historical Region,Target Site Dedication Subject(s)
Monasteries,Monasteries,Dependent or Possession of,Santissima Trinità di Refesio,Holy Trinity of Refesio,Burgio,Agrigento,Val di Mazara,the Holy Trinity,Cistercians,San Giovanni degli Eremiti,Saint John of the Hermits,Palermo,Palermo,Val di Mazara,Saint John the Evangelist
Monasteries,Monasteries,Colonized by,Santissima Trinità di Refesio,Holy Trinity of Refesio,Burgio,Agrigento,Val di Mazara,the Holy Trinity,Cistercians,Bellus Mons,Balamand,,,,the Virgin Mary
Monasteries,Monasteries,Dependent or Possession of,*Santa Maria di Licodia (Abbazia Estiva),Saint Mary of Licodia (Summer Abbey),Santa Maria di Licodia,Catania,Val Demone,,,Sant'Agata di Catania,Saint Agatha of Catania,Catania,Catania,Val Demone,"Christ, the Virgin Mary, Saint Agatha"
Monasteries,Churches,Dependent or Possession of,Santissima Maria del Cancelliere,Saint Mary of the Chancellor,Palermo,Palermo,Val di Mazara,the Virgin Mary,Benedictines,La Chiesa di Santa Maria Assunta,Church of Santa Maria Assunta,Palermo,Palermo,Val di Mazara,the Assumption
Monasteries,Monasteries,Dependent or Possession of,Santa Maria di Novara,Saint Mary of Novara,Novara di Sicilia,Messina,Val Demone,the Virgin Mary,Cistercians,Sambucina,Sambucina,,,,the Virgin Mary
Monasteries,Monasteries,Colonized by,Santa Maria di Roccamadore,Saint Mary of Roccamadore,Messina,Messina,Val Demone,the Virgin Mary,Cistercians,Santa Maria di Novara,Saint Mary of Novara,Novara di Sicilia,Messina,Val Demone,the Virgin Mary
Monasteries,Churches,Dependent or Possession of,Santa Maria di Roccamadore,Saint Mary of Roccamadore,Messina,Messina,Val Demone,the Virgin Mary,Cistercians,La Chiesa di Santa Maria Assunta,La Chiesa di Santa Maria Assunta,Messina,Messina,Val Demone,the Assumption
Monasteries,Monasteries,Colonized by,Santa Lucia di Noto,Saint Lucy of Noto,Noto,Syracuse,Val di Noto,Saint Lucy,Augustinian Canons,Santa Maria e i Dodici Apostoli,Saint Mary and the Twelve Apostles,,,,the Virgin Mary and the Twelve Apostles
Monasteries,Monasteries,Dependent or Possession of,Santa Lucia di Noto,Saint Lucy of Noto,Noto,Syracuse,Val di Noto,Saint Lucy,Augustinian Canons,Santa Maria e i Dodici Apostoli,Saint Mary and the Twelve Apostles,,,,the Virgin Mary and the Twelve Apostles
Monasteries,Monasteries,Dependent or Possession of,San Pietro di Palermo,Saint Peter of Palermo,Palermo,Palermo,Val di Mazara,Saint Peter,Augustinian Canons,Santa Maria e i Dodici Apostoli,Saint Mary and the Twelve Apostles,,,,the Virgin Mary and the Twelve Apostles
Monasteries,Monasteries,Dependent or Possession of,San Giacomo di Partinico,Saint James of Partinico,Partinico,Palermo,Val di Mazara,Saint James (the Great?),Augustinian Canons,Santa Maria e i Dodici Apostoli,Saint Mary and the Twelve Apostles,,,,the Virgin Mary and the Twelve Apostles
Monasteries,Monasteries,Dependent or Possession of,Santo Stefano di Castronuovo,Saint Stephen of Castronuovo,Castronovo di Sicilia?,Palermo?,Val di Mazara?,Saint Stephen the Protomartyr,Augustinian Canons,Santa Maria e i Dodici Apostoli,Saint Mary and the Twelve Apostles,,,,the Virgin Mary and the Twelve Apostles
Monasteries,Monasteries,Dependent or Possession of,Santa Maria di Castronuovo,Saint Mary of Castronuovo,Castronovo di Sicilia?,Palermo?,Val di Mazara?,the Virgin Mary,Augustinian Canons,Santa Maria e i Dodici Apostoli,Saint Mary and the Twelve Apostles,,,,the Virgin Mary and the Twelve Apostles
